POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
110,Andrew Tye,1,1,0,6,6,6,6,100,0,0,0,1
111,Jasprit Bumrah,15,1,1,5,5*,0,3,166.66,0,0,0,0
112,Murugan Ashwin,9,1,0,4,4,4,4,100,0,0,0,0
113,Kartik Tyagi,10,3,2,4,2*,4,6,66.66,0,0,0,0
114,Dhawal Kulkarni,1,1,1,3,3*,0,2,150,0,0,0,0
115,T Natarajan,16,3,3,3,3*,0,5,60,0,0,0,0
116,Prasidh Krishna,6,2,2,2,2*,0,4,50,0,0,0,0
117,Mohammad Shami,14,3,2,2,2*,2,3,66.66,0,0,0,0
118,Rahul Chahar,15,1,1,2,2*,0,4,50,0,0,0,0
119,Nikhil Naik,1,1,0,1,1,1,3,33.33,0,0,0,0
120,Mujeeb Ur Rahman,2,1,0,1,1,1,3,33.33,0,0,0,0
121,Shahbaz Ahmed,2,1,1,1,1*,0,1,100,0,0,0,0
122,Dale Steyn,3,1,1,1,1*,0,2,50,0,0,0,0
123,Varun Aaron,3,2,1,1,1,1,10,10,0,0,0,0
124,Yuzvendra Chahal,15,2,1,1,1,1,3,33.33,0,0,0,0
125,Mitchell Marsh,1,1,0,0,0*,0,1,0,0,0,0,0
126,Shreevats Goswami,2,2,0,0,0*,0,4,0,0,0,0,0
127,Umesh Yadav,2,1,0,0,0*,0,2,0,0,0,0,0
128,Daniel Sams,3,1,0,0,0*,0,2,0,0,0,0,0
129,Bhuvneshwar Kumar,4,1,0,0,0*,0,2,0,0,0,0,0
130,Sheldon Cottrell,6,1,0,0,0*,0,2,0,0,0,0,0
131,Khaleel Ahmed,7,1,0,0,0*,0,2,0,0,0,0,0
132,Arshdeep Singh,8,1,0,0,0*,0,3,0,0,0,0,0
133,Trent Boult,15,1,0,0,0*,0,1,0,0,0,0,0
