POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,KL Rahul,14,14,2,670,132*,55.83,518,129.34,1,5,58,23
2,Shikhar Dhawan,17,17,3,618,106*,44.14,427,144.73,2,4,67,12
3,David Warner,16,16,2,548,85*,39.14,407,134.64,0,4,52,14
4,Shreyas Iyer,17,17,2,519,88*,34.6,421,123.27,0,3,40,16
5,Ishan Kishan,14,13,4,516,99,57.33,354,145.76,0,4,36,30
6,Quinton de Kock,16,16,2,503,78*,35.92,358,140.5,0,4,46,22
7,Suryakumar Yadav,16,15,3,480,79*,40,331,145.01,0,4,61,11
8,Devdutt Padikkal,15,15,0,473,74,31.53,379,124.8,0,5,51,8
9,Virat Kohli,15,15,4,466,90*,42.36,384,121.35,0,3,23,11
10,AB de Villiers,15,14,4,454,73*,45.4,286,158.74,0,5,33,23
11,Faf du Plessis,13,13,2,449,87*,40.81,319,140.75,0,4,42,14
12,Shubman Gill,14,14,1,440,70*,33.84,373,117.96,0,3,44,9
13,Manish Pandey,16,15,2,425,83*,32.69,333,127.62,0,3,35,18
14,Mayank Agarwal,11,11,0,424,106,38.54,271,156.45,1,2,44,15
15,Eoin Morgan,14,14,4,418,68*,41.8,302,138.41,0,1,32,24
16,Sanju Samson,14,14,1,375,85,28.84,236,158.89,0,3,21,26
17,Ambati Rayudu,12,11,2,359,71,39.88,282,127.3,0,1,30,12
18,Nicholas Pooran,14,14,4,353,77,35.3,208,169.71,0,2,23,25
19,Nitish Rana,14,14,0,352,87,25.14,254,138.58,0,3,43,12
20,Marcus Stoinis,17,17,3,352,65,25.14,237,148.52,0,3,31,16
21,Jonny Bairstow,11,11,0,345,97,31.36,272,126.83,0,3,31,13
22,Rishabh Pant,14,14,3,343,56,31.18,301,113.95,0,1,31,9
23,Rohit Sharma,12,12,0,332,80,27.66,260,127.69,0,3,27,19
24,Jos Buttler,13,12,2,328,70*,32.8,227,144.49,0,2,27,16
25,Kane Williamson,12,11,4,317,67,45.28,237,133.75,0,3,26,10
26,Steve Smith,14,14,2,311,69,25.91,237,131.22,0,3,32,9
27,Shane Watson,11,11,1,299,83*,29.9,247,121.05,0,2,33,13
28,Chris Gayle,7,7,0,288,99,41.14,210,137.14,0,3,15,23
29,Ben Stokes,8,8,1,285,107*,40.71,200,142.5,1,1,36,7
30,Hardik Pandya,14,13,5,281,60*,35.12,157,178.98,0,1,14,25
31,Aaron Finch,12,12,0,268,52,22.33,241,111.2,0,1,28,8
32,Kieron Pollard,16,12,7,268,60*,53.6,140,191.42,0,1,15,22
33,Rahul Tewatia,14,11,5,255,53,42.5,183,139.34,0,1,13,17
34,Ravindra Jadeja,14,11,6,232,50,46.4,135,171.85,0,1,22,11
35,Rahul Tripathi,11,11,1,230,81,23,181,127.07,0,1,21,10
36,Prithvi Shaw,13,13,0,228,66,17.53,167,136.52,0,2,27,8
37,Wriddhiman Saha,4,4,1,214,87,71.33,153,139.86,0,2,24,5
38,Ruturaj Gaikwad,6,6,2,204,72,51,169,120.71,0,3,16,6
39,MS Dhoni,14,12,4,200,47*,25,172,116.27,0,0,16,7
40,Robin Uthappa,12,12,0,196,41,16.33,164,119.51,0,0,19,7
41,Sam Curran,14,11,3,186,52,23.25,141,131.91,0,1,12,12
42,Shimron Hetmyer,12,11,3,185,45,23.12,125,148,0,0,11,12
43,Dinesh Karthik,14,14,2,169,58,14.08,134,126.11,0,1,20,4
44,Pat Cummins,14,11,4,146,53*,20.85,114,128.07,0,1,9,8
45,Priyam Garg,14,10,1,133,51*,14.77,111,119.81,0,1,9,4
46,Mandeep Singh,7,7,1,130,66*,21.66,109,119.26,0,1,10,4
47,Shivam Dube,11,9,2,129,27*,18.42,105,122.85,0,0,5,9
48,Sunil Narine,10,9,0,121,64,13.44,85,142.35,0,1,10,8
49,Andre Russell,10,9,0,117,25,13,81,144.44,0,0,9,9
50,Axar Patel,15,9,1,117,42,14.62,85,137.64,0,0,6,8
51,Ajinkya Rahane,9,8,0,113,60,14.12,107,105.6,0,1,12,2
52,Jofra Archer,14,10,4,113,27*,18.83,63,179.36,0,0,5,10
53,Abdul Samad,12,8,3,111,33,22.2,65,170.76,0,0,8,6
54,Washington Sundar,15,9,3,111,30,18.5,95,116.84,0,0,10,2
55,Krunal Pandya,16,12,6,109,34,18.16,92,118.47,0,0,9,5
56,Glenn Maxwell,13,11,4,108,32,15.42,106,101.88,0,0,9,0
57,Saurabh Tiwary,7,5,0,103,42,20.6,80,128.75,0,0,8,3
58,Deepak Hooda,7,5,4,101,62*,101,71,142.25,0,1,5,5
59,Vijay Shankar,7,5,1,97,52*,24.25,96,101.04,0,1,10,1
60,Riyan Parag,12,8,1,86,42*,12.28,77,111.68,0,0,6,3
61,Tom Curran,5,4,3,83,54*,83,62,133.87,0,1,5,3
62,Josh Philippe,5,5,1,78,33,19.5,77,101.29,0,0,9,1
63,Abhishek Sharma,8,7,2,71,31,14.2,56,126.78,0,0,6,3
64,Gurkeerat Mann Singh,8,5,5,71,21*,0,80,88.75,0,0,8,0
65,Jason Holder,7,4,2,66,26*,33,53,124.52,0,0,5,3
66,Kedar Jadhav,8,5,2,62,26,20.66,66,93.93,0,0,7,0
67,Mahipal Lomror,3,3,0,59,47,19.66,54,109.25,0,0,2,3
68,Kagiso Rabada,17,8,4,56,15*,14,49,114.28,0,0,4,2
69,Lockie Ferguson,5,2,2,43,24*,0,29,148.27,0,0,4,1
70,Krishnappa Gowtham,2,2,1,42,22*,42,27,155.55,0,0,3,2
71,Yashasvi Jaiswal,3,3,0,40,34,13.33,44,90.9,0,0,2,2
72,Shreyas Gopal,14,5,1,37,23*,9.25,39,94.87,0,0,3,0
73,Ravichandran Ashwin,15,6,3,37,14*,12.33,34,108.82,0,0,3,1
74,Rashid Khan,16,7,3,35,14,8.75,30,116.66,0,0,3,2
75,Chris Morris,9,5,1,34,25*,8.5,21,161.9,0,0,2,3
76,Narayan Jagadeesan,5,2,0,33,33,16.5,29,113.79,0,0,4,0
77,Sarfaraz Khan,5,3,1,33,14*,16.5,29,113.79,0,0,5,0
78,Alex Carey,3,3,1,32,14*,16,29,110.34,0,0,0,1
79,Murali Vijay,3,3,0,32,21,10.66,43,74.41,0,0,4,0
80,Chris Jordan,9,5,2,29,13,9.66,31,93.54,0,0,2,0
81,Navdeep Saini,13,3,2,27,12*,27,27,100,0,0,3,0
82,Nathan Coulter-Nile,7,2,1,25,24*,25,15,166.66,0,0,4,0
83,Kamlesh Nagarkoti,10,6,3,22,8*,7.33,31,70.96,0,0,1,0
84,Harshal Patel,5,2,0,21,16,10.5,24,87.5,0,0,2,0
85,Tushar Deshpande,5,2,1,21,20*,21,12,175,0,0,2,1
86,Jimmy Neesham,5,3,1,19,10*,9.5,18,105.55,0,0,0,1
87,Tom Banton,2,2,0,18,10,9,20,90,0,0,1,1
88,Mohammed Siraj,9,3,2,17,10*,17,14,121.42,0,0,2,0
89,Karun Nair,4,3,1,16,15*,8,14,114.28,0,0,2,0
90,Prabhsimran Singh,2,2,0,15,11,7.5,15,100,0,0,2,0
91,Isuru Udana,10,4,1,15,10*,5,11,136.36,0,0,1,1
92,James Pattinson,10,2,1,15,11,15,13,115.38,0,0,2,0
93,Imran Tahir,3,1,1,13,13*,0,10,130,0,0,2,0
94,Kuldeep Yadav,5,2,1,13,12,13,21,61.9,0,0,1,0
95,Moeen Ali,3,3,0,12,11,4,16,75,0,0,1,0
96,Shardul Thakur,9,2,1,12,11,12,21,57.14,0,0,0,0
97,Sandeep Sharma,13,5,3,12,9,6,15,80,0,0,1,0
98,Mohammad Nabi,1,1,1,11,11*,0,8,137.5,0,0,2,0
99,Rinku Singh,1,1,0,11,11,11,11,100,0,0,1,0
100,Shivam Mavi,8,3,1,10,9,5,14,71.42,0,0,1,0
101,Varun Chakaravarthy,13,3,1,10,7*,5,15,66.66,0,0,0,0
102,Ankit Rajpoot,6,2,1,9,7*,9,10,90,0,0,0,1
103,Jaydev Unadkat,7,1,0,9,9,9,13,69.23,0,0,0,0
104,Pravin Dubey,3,1,1,7,7*,0,13,53.84,0,0,0,0
105,Dwayne Bravo,6,2,0,7,7,3.5,6,116.66,0,0,0,0
106,Shahbaz Nadeem,7,2,1,7,5,7,8,87.5,0,0,1,0
107,Deepak Chahar,14,3,2,7,5*,7,12,58.33,0,0,0,0
108,Ravi Bishnoi,14,3,2,7,6*,7,12,58.33,0,0,1,0
109,Anrich Nortje,16,5,4,7,3*,7,6,116.66,0,0,0,0
